소재지,시점,전체인구
전국,2005,48782274
전국,2006,48991779
전국,2007,49268928
전국,2008,49540367
전국,2009,49773145
전국,2010,50515666
전국,2011,50734284
전국,2012,50948272
전국,2013,51141463
전국,2014,51327916
전국,2015,51529338
전국,2016,51696216
전국,2017,51778544
전국,2018,51826059
전국,2019,51849861
전국,2020,51829023
전국,2021,51638809
전국,2022,51439038
서울,2005,10167344
서울,2006,10181166
서울,2007,10192710
서울,2008,10200827
서울,2009,10208302
서울,2010,10312545
서울,2011,10249679
서울,2012,10195318
서울,2013,10143645
서울,2014,10103233
서울,2015,10022181
서울,2016,9930616
서울,2017,9857426
서울,2018,9765623
서울,2019,9729107
서울,2020,9668465
서울,2021,9509458
서울,2022,9428372
부산,2005,3638293
부산,2006,3611992
부산,2007,3587439
부산,2008,3564577
부산,2009,3543030
부산,2010,3567910
부산,2011,3550963
부산,2012,3538484
부산,2013,3527635
부산,2014,3519401
부산,2015,3513777
부산,2016,3498529
부산,2017,3470653
부산,2018,3441453
부산,2019,3413841
부산,2020,3391946
부산,2021,3350380
부산,2022,3317812
대구,2005,2511306
대구,2006,2496115
대구,2007,2493261
대구,2008,2492724
대구,2009,2489781
대구,2010,2511676
대구,2011,2507271
대구,2012,2505644
대구,2013,2501588
대구,2014,2493264
대구,2015,2487829
대구,2016,2484557
대구,2017,2475231
대구,2018,2461769
대구,2019,2438031
대구,2020,2418346
대구,2021,2385412
대구,2022,2363691
인천,2005,2600495
인천,2006,2624391
인천,2007,2664576
인천,2008,2692696
인천,2009,2710579
인천,2010,2758296
인천,2011,2801274
인천,2012,2843981
인천,2013,2879782
인천,2014,2902608
인천,2015,2925815
인천,2016,2943069
인천,2017,2948542
인천,2018,2954642
인천,2019,2957026
인천,2020,2942828
인천,2021,2948375
인천,2022,2967314
광주,2005,1401745
광주,2006,1407798
광주,2007,1413444
광주,2008,1422702
광주,2009,1433640
광주,2010,1454636
광주,2011,1463464
광주,2012,1469216
광주,2013,1472910
광주,2014,1475884
광주,2015,1472199
광주,2016,1469214
광주,2017,1463770
광주,2018,1459336
광주,2019,1456468
광주,2020,1450062
광주,2021,1441611
광주,2022,1431050
대전,2005,1454638
대전,2006,1466158
대전,2007,1475659
대전,2008,1480895
대전,2009,1484180
대전,2010,1503664
대전,2011,1515603
대전,2012,1524583
대전,2013,1532811
대전,2014,1531809
대전,2015,1518775
대전,2016,1514370
대전,2017,1502227
대전,2018,1489936
대전,2019,1474870
대전,2020,1463882
대전,2021,1452251
대전,2022,1446072
울산,2005,1087648
울산,2006,1092494
울산,2007,1099995
울산,2008,1112407
울산,2009,1114866
울산,2010,1126298
울산,2011,1135494
울산,2012,1147256
울산,2013,1156480
울산,2014,1166377
울산,2015,1173534
울산,2016,1172304
울산,2017,1165132
울산,2018,1155623
울산,2019,1148019
울산,2020,1136017
울산,2021,1121592
울산,2022,1110663
세종,2012,113117
세종,2013,122153
세종,2014,156125
세종,2015,210884
세종,2016,243048
세종,2017,280100
세종,2018,314126
세종,2019,340575
세종,2020,355831
세종,2021,371895
세종,2022,383591
경기,2005,10697215
경기,2006,10906033
경기,2007,11106211
경기,2008,11292264
경기,2009,11460610
경기,2010,11786622
경기,2011,11937415
경기,2012,12093299
경기,2013,12234630
경기,2014,12357830
경기,2015,12522606
경기,2016,12716780
경기,2017,12873895
경기,2018,13077153
경기,2019,13239666
경기,2020,13427014
경기,2021,13565450
경기,2022,13589432
강원,2005,1513110
강원,2006,1505420
강원,2007,1503806
강원,2008,1508575
강원,2009,1512870
강원,2010,1529818
강원,2011,1536448
강원,2012,1538630
강원,2013,1542263
강원,2014,1544442
강원,2015,1549507
강원,2016,1550806
강원,2017,1550142
강원,2018,1543052
강원,2019,1541502
강원,2020,1542840
강원,2021,1538492
강원,2022,1536498
충북,2005,1488803
충북,2006,1494559
충북,2007,1506608
충북,2008,1519587
충북,2009,1527478
충북,2010,1549528
충북,2011,1562903
충북,2012,1565628
충북,2013,1572732
충북,2014,1578933
충북,2015,1583952
충북,2016,1591625
충북,2017,1594432
충북,2018,1599252
충북,2019,1600007
충북,2020,1600837
충북,2021,1597427
충북,2022,1595058
충남,2005,1962646
충남,2006,1974433
충남,2007,1995531
충남,2008,2018537
충남,2009,2037582
충남,2010,2075514
충남,2011,2101284
충남,2012,2028777
충남,2013,2047631
충남,2014,2062273
충남,2015,2077649
충남,2016,2096727
충남,2017,2116770
충남,2018,2126282
충남,2019,2123709
충남,2020,2121029
충남,2021,2119257
충남,2022,2123037
전북,2005,1885335
전북,2006,1868365
전북,2007,1862277
전북,2008,1855772
전북,2009,1854508
전북,2010,1868963
전북,2011,1874031
전북,2012,1873341
전북,2013,1872965
전북,2014,1871560
전북,2015,1869711
전북,2016,1864791
전북,2017,1854607
전북,2018,1836832
전북,2019,1818917
전북,2020,1804104
전북,2021,1786855
전북,2022,1769607
전남,2005,1967205
전남,2006,1942925
전남,2007,1929836
전남,2008,1919000
전남,2009,1913004
전남,2010,1918485
전남,2011,1914339
전남,2012,1909618
전남,2013,1907172
전남,2014,1905780
전남,2015,1908996
전남,2016,1903914
전남,2017,1896424
전남,2018,1882970
전남,2019,1868745
전남,2020,1851549
전남,2021,1832803
전남,2022,1817697
경북,2005,2688491
경북,2006,2688577
경북,2007,2681364
경북,2008,2673931
경북,2009,2669876
경북,2010,2689920
경북,2011,2699195
경북,2012,2698353
경북,2013,2699440
경북,2014,2700794
경북,2015,2702826
경북,2016,2700398
경북,2017,2691706
경북,2018,2676831
경북,2019,2665836
경북,2020,2639422
경북,2021,2626609
경북,2022,2600492
경남,2005,3160431
경남,2006,3172857
경남,2007,3196953
경남,2008,3225255
경남,2009,3250176
경남,2010,3290536
경남,2011,3308765
경남,2012,3319314
경남,2013,3333820
경남,2014,3350257
경남,2015,3364702
경남,2016,3373871
경남,2017,3380404
경남,2018,3373988
경남,2019,3362553
경남,2020,3340216
경남,2021,3314183
경남,2022,3280493
제주,2005,557569
제주,2006,558496
제주,2007,559258
제주,2008,560618
제주,2009,562663
제주,2010,571255
제주,2011,576156
제주,2012,583713
제주,2013,593806
제주,2014,607346
제주,2015,624395
제주,2016,641597
제주,2017,657083
제주,2018,667191
제주,2019,670989
제주,2020,674635
제주,2021,676759
제주,2022,678159
