"소재지(시군구)별(1)","시점",전체인구(A) (명)
"전국","2005",48782274
"전국","2006",48991779
"전국","2007",49268928
"전국","2008",49540367
"전국","2009",49773145
"전국","2010",50515666
"전국","2011",50734284
"전국","2012",50948272
"전국","2013",51141463
"전국","2014",51327916
"전국","2015",51529338
"전국","2016",51696216
"전국","2017",51778544
"전국","2018",51826059
"전국","2019",51849861
"전국","2020",51829023
"전국","2021",51638809
"전국","2022",51439038
"서울특별시","2005",10167344
"서울특별시","2006",10181166
"서울특별시","2007",10192710
"서울특별시","2008",10200827
"서울특별시","2009",10208302
"서울특별시","2010",10312545
"서울특별시","2011",10249679
"서울특별시","2012",10195318
"서울특별시","2013",10143645
"서울특별시","2014",10103233
"서울특별시","2015",10022181
"서울특별시","2016",9930616
"서울특별시","2017",9857426
"서울특별시","2018",9765623
"서울특별시","2019",9729107
"서울특별시","2020",9668465
"서울특별시","2021",9509458
"서울특별시","2022",9428372
"부산광역시","2005",3638293
"부산광역시","2006",3611992
"부산광역시","2007",3587439
"부산광역시","2008",3564577
"부산광역시","2009",3543030
"부산광역시","2010",3567910
"부산광역시","2011",3550963
"부산광역시","2012",3538484
"부산광역시","2013",3527635
"부산광역시","2014",3519401
"부산광역시","2015",3513777
"부산광역시","2016",3498529
"부산광역시","2017",3470653
"부산광역시","2018",3441453
"부산광역시","2019",3413841
"부산광역시","2020",3391946
"부산광역시","2021",3350380
"부산광역시","2022",3317812
"대구광역시","2005",2511306
"대구광역시","2006",2496115
"대구광역시","2007",2493261
"대구광역시","2008",2492724
"대구광역시","2009",2489781
"대구광역시","2010",2511676
"대구광역시","2011",2507271
"대구광역시","2012",2505644
"대구광역시","2013",2501588
"대구광역시","2014",2493264
"대구광역시","2015",2487829
"대구광역시","2016",2484557
"대구광역시","2017",2475231
"대구광역시","2018",2461769
"대구광역시","2019",2438031
"대구광역시","2020",2418346
"대구광역시","2021",2385412
"대구광역시","2022",2363691
"인천광역시","2005",2600495
"인천광역시","2006",2624391
"인천광역시","2007",2664576
"인천광역시","2008",2692696
"인천광역시","2009",2710579
"인천광역시","2010",2758296
"인천광역시","2011",2801274
"인천광역시","2012",2843981
"인천광역시","2013",2879782
"인천광역시","2014",2902608
"인천광역시","2015",2925815
"인천광역시","2016",2943069
"인천광역시","2017",2948542
"인천광역시","2018",2954642
"인천광역시","2019",2957026
"인천광역시","2020",2942828
"인천광역시","2021",2948375
"인천광역시","2022",2967314
"광주광역시","2005",1401745
"광주광역시","2006",1407798
"광주광역시","2007",1413444
"광주광역시","2008",1422702
"광주광역시","2009",1433640
"광주광역시","2010",1454636
"광주광역시","2011",1463464
"광주광역시","2012",1469216
"광주광역시","2013",1472910
"광주광역시","2014",1475884
"광주광역시","2015",1472199
"광주광역시","2016",1469214
"광주광역시","2017",1463770
"광주광역시","2018",1459336
"광주광역시","2019",1456468
"광주광역시","2020",1450062
"광주광역시","2021",1441611
"광주광역시","2022",1431050
"대전광역시","2005",1454638
"대전광역시","2006",1466158
"대전광역시","2007",1475659
"대전광역시","2008",1480895
"대전광역시","2009",1484180
"대전광역시","2010",1503664
"대전광역시","2011",1515603
"대전광역시","2012",1524583
"대전광역시","2013",1532811
"대전광역시","2014",1531809
"대전광역시","2015",1518775
"대전광역시","2016",1514370
"대전광역시","2017",1502227
"대전광역시","2018",1489936
"대전광역시","2019",1474870
"대전광역시","2020",1463882
"대전광역시","2021",1452251
"대전광역시","2022",1446072
"울산광역시","2005",1087648
"울산광역시","2006",1092494
"울산광역시","2007",1099995
"울산광역시","2008",1112407
"울산광역시","2009",1114866
"울산광역시","2010",1126298
"울산광역시","2011",1135494
"울산광역시","2012",1147256
"울산광역시","2013",1156480
"울산광역시","2014",1166377
"울산광역시","2015",1173534
"울산광역시","2016",1172304
"울산광역시","2017",1165132
"울산광역시","2018",1155623
"울산광역시","2019",1148019
"울산광역시","2020",1136017
"울산광역시","2021",1121592
"울산광역시","2022",1110663
"세종특별자치시","2012",113117
"세종특별자치시","2013",122153
"세종특별자치시","2014",156125
"세종특별자치시","2015",210884
"세종특별자치시","2016",243048
"세종특별자치시","2017",280100
"세종특별자치시","2018",314126
"세종특별자치시","2019",340575
"세종특별자치시","2020",355831
"세종특별자치시","2021",371895
"세종특별자치시","2022",383591
"경기도","2005",10697215
"경기도","2006",10906033
"경기도","2007",11106211
"경기도","2008",11292264
"경기도","2009",11460610
"경기도","2010",11786622
"경기도","2011",11937415
"경기도","2012",12093299
"경기도","2013",12234630
"경기도","2014",12357830
"경기도","2015",12522606
"경기도","2016",12716780
"경기도","2017",12873895
"경기도","2018",13077153
"경기도","2019",13239666
"경기도","2020",13427014
"경기도","2021",13565450
"경기도","2022",13589432
"강원도","2005",1513110
"강원도","2006",1505420
"강원도","2007",1503806
"강원도","2008",1508575
"강원도","2009",1512870
"강원도","2010",1529818
"강원도","2011",1536448
"강원도","2012",1538630
"강원도","2013",1542263
"강원도","2014",1544442
"강원도","2015",1549507
"강원도","2016",1550806
"강원도","2017",1550142
"강원도","2018",1543052
"강원도","2019",1541502
"강원도","2020",1542840
"강원도","2021",1538492
"강원도","2022",1536498
"충청북도","2005",1488803
"충청북도","2006",1494559
"충청북도","2007",1506608
"충청북도","2008",1519587
"충청북도","2009",1527478
"충청북도","2010",1549528
"충청북도","2011",1562903
"충청북도","2012",1565628
"충청북도","2013",1572732
"충청북도","2014",1578933
"충청북도","2015",1583952
"충청북도","2016",1591625
"충청북도","2017",1594432
"충청북도","2018",1599252
"충청북도","2019",1600007
"충청북도","2020",1600837
"충청북도","2021",1597427
"충청북도","2022",1595058
"충청남도","2005",1962646
"충청남도","2006",1974433
"충청남도","2007",1995531
"충청남도","2008",2018537
"충청남도","2009",2037582
"충청남도","2010",2075514
"충청남도","2011",2101284
"충청남도","2012",2028777
"충청남도","2013",2047631
"충청남도","2014",2062273
"충청남도","2015",2077649
"충청남도","2016",2096727
"충청남도","2017",2116770
"충청남도","2018",2126282
"충청남도","2019",2123709
"충청남도","2020",2121029
"충청남도","2021",2119257
"충청남도","2022",2123037
"전라북도","2005",1885335
"전라북도","2006",1868365
"전라북도","2007",1862277
"전라북도","2008",1855772
"전라북도","2009",1854508
"전라북도","2010",1868963
"전라북도","2011",1874031
"전라북도","2012",1873341
"전라북도","2013",1872965
"전라북도","2014",1871560
"전라북도","2015",1869711
"전라북도","2016",1864791
"전라북도","2017",1854607
"전라북도","2018",1836832
"전라북도","2019",1818917
"전라북도","2020",1804104
"전라북도","2021",1786855
"전라북도","2022",1769607
"전라남도","2005",1967205
"전라남도","2006",1942925
"전라남도","2007",1929836
"전라남도","2008",1919000
"전라남도","2009",1913004
"전라남도","2010",1918485
"전라남도","2011",1914339
"전라남도","2012",1909618
"전라남도","2013",1907172
"전라남도","2014",1905780
"전라남도","2015",1908996
"전라남도","2016",1903914
"전라남도","2017",1896424
"전라남도","2018",1882970
"전라남도","2019",1868745
"전라남도","2020",1851549
"전라남도","2021",1832803
"전라남도","2022",1817697
"경상북도","2005",2688491
"경상북도","2006",2688577
"경상북도","2007",2681364
"경상북도","2008",2673931
"경상북도","2009",2669876
"경상북도","2010",2689920
"경상북도","2011",2699195
"경상북도","2012",2698353
"경상북도","2013",2699440
"경상북도","2014",2700794
"경상북도","2015",2702826
"경상북도","2016",2700398
"경상북도","2017",2691706
"경상북도","2018",2676831
"경상북도","2019",2665836
"경상북도","2020",2639422
"경상북도","2021",2626609
"경상북도","2022",2600492
"경상남도","2005",3160431
"경상남도","2006",3172857
"경상남도","2007",3196953
"경상남도","2008",3225255
"경상남도","2009",3250176
"경상남도","2010",3290536
"경상남도","2011",3308765
"경상남도","2012",3319314
"경상남도","2013",3333820
"경상남도","2014",3350257
"경상남도","2015",3364702
"경상남도","2016",3373871
"경상남도","2017",3380404
"경상남도","2018",3373988
"경상남도","2019",3362553
"경상남도","2020",3340216
"경상남도","2021",3314183
"경상남도","2022",3280493
"제주특별자치도","2005",557569
"제주특별자치도","2006",558496
"제주특별자치도","2007",559258
"제주특별자치도","2008",560618
"제주특별자치도","2009",562663
"제주특별자치도","2010",571255
"제주특별자치도","2011",576156
"제주특별자치도","2012",583713
"제주특별자치도","2013",593806
"제주특별자치도","2014",607346
"제주특별자치도","2015",624395
"제주특별자치도","2016",641597
"제주특별자치도","2017",657083
"제주특별자치도","2018",667191
"제주특별자치도","2019",670989
"제주특별자치도","2020",674635
"제주특별자치도","2021",676759
"제주특별자치도","2022",678159
